Frequency_Hz,Level_dBuV
156096.2,32.13
158182.8,31.29
160297.3,30.53
162440.1,32.14
164611.5,28.12
166812.0,28.90
169041.8,28.42
171301.5,29.18
173591.4,27.65
175911.9,30.62
178263.4,29.29
180646.3,27.37
183061.1,28.01
185508.2,29.96
187988.0,30.70
190500.9,32.39
193047.5,33.72
195628.0,29.92
198243.1,27.77
200893.1,26.01
203578.6,29.57
206299.9,27.90
209057.7,28.45
211852.2,28.11
214684.2,28.77
217554.0,30.53
220462.2,29.12
223409.2,28.60
226395.6,27.24
229422.0,26.24
232488.8,27.97
235596.6,28.58
238745.9,31.26
241937.4,28.76
245171.5,29.99
248448.8,27.72
251770.0,26.65
255135.5,26.93
258546.1,27.25
262002.2,31.48
265504.5,27.01
269053.7,29.45
272650.3,26.79
276294.9,29.50
279988.3,28.63
283731.1,27.78
287523.9,27.90
291367.3,26.94
295262.2,28.54
299209.1,27.14
303208.8,25.94
307262.0,25.82
311369.3,27.95
315531.6,30.01
319749.5,27.84
324023.7,27.37
328355.1,27.93
332744.4,29.42
337192.4,27.74
341699.9,26.75
346267.5,28.98
350896.3,27.92
355586.9,29.53
360340.2,27.46
365157.1,25.30
370038.4,25.04
374984.9,29.52
379997.5,29.58
385077.1,26.68
390224.7,26.33
395441.0,29.05
400727.1,25.15
406083.8,25.42
411512.2,27.68
417013.1,26.08
422587.5,26.62
428236.5,26.34
433961.0,27.04
439761.9,28.60
445640.5,26.58
451597.6,27.36
457634.4,23.27
463751.8,26.23
469951.0,24.99
476233.1,24.38
482599.2,24.85
489050.4,25.62
495587.8,27.45
502212.6,24.04
508925.9,26.03
515729.0,25.21
522623.0,25.40
529609.2,27.35
536688.8,26.60
543863.0,27.76
551133.1,25.47
558500.4,24.61
565966.2,25.28
573531.8,25.93
581198.5,25.78
588967.7,23.85
596840.8,25.56
604819.1,25.72
612904.0,29.11
621097.0,28.10
629399.6,23.96
637813.1,24.77
646339.1,22.96
654979.1,24.22
663734.5,25.53
672607.0,26.82
681598.1,23.87
690709.4,23.94
699942.5,21.65
709299.0,24.58
718780.6,23.19
728389.0,23.94
738125.7,23.37
747992.7,24.50
757991.5,21.96
768124.0,22.35
778391.9,27.70
788797.1,22.53
799341.4,22.77
810026.6,27.12
820854.7,28.68
831827.5,22.52
842947.0,23.68
854215.2,24.69
865633.9,26.73
877205.3,22.61
888931.4,23.68
900814.2,25.16
912855.9,24.60
925058.6,23.34
937424.3,23.66
949955.4,21.75
962654.0,23.41
975522.3,23.32
988562.6,24.02
1001777.3,22.79
1015168.6,24.29
1028738.9,25.05
1042490.6,23.72
1056426.2,23.97
1070548.0,23.48
1084858.6,23.35
1099360.5,22.22
1114056.3,23.73
1128948.5,23.07
1144039.7,26.31
1159332.7,25.48
1174830.2,23.65
1190534.8,21.88
1206449.3,21.31
1222576.6,24.72
1238919.4,23.28
1255480.7,23.56
1272263.4,20.18
1289270.5,24.14
1306504.9,23.39
1323969.6,20.99
1341667.9,21.91
1359602.7,36.17
1377777.2,22.60
1396194.7,22.04
1414858.4,22.27
1433771.6,22.00
1452937.6,22.56
1472359.8,24.50
1492041.7,18.39
1511986.6,21.84
1532198.2,22.42
1552679.9,22.55
1573435.4,21.50
1594468.4,19.38
1615782.5,22.46
1637381.6,24.51
1659269.4,19.57
1681449.7,23.12
1703926.6,21.29
1726703.9,21.64
1749785.7,20.11
1773176.1,21.14
1796879.1,23.55
1820898.9,22.43
1845239.9,24.10
1869906.2,23.23
1894902.3,22.07
1920232.5,23.98
1945901.3,21.98
1971913.2,22.52
1998272.9,20.78
2024984.9,21.28
2052054.0,20.09
2079484.9,22.57
2107282.5,19.28
2135451.7,22.17
2163997.5,20.67
2192924.8,22.66
2222238.8,21.99
2251944.7,23.54
2282047.7,21.86
2312553.1,18.36
2343466.2,20.57
2374792.6,18.87
2406537.8,19.81
2438707.3,22.80
2471306.8,21.45
2504342.1,19.40
2537819.1,18.88
2571743.5,20.40
2606121.4,18.48
2640958.8,19.25
2676262.0,20.68
2712037.0,21.90
2748290.3,21.03
2785028.2,16.64
2822257.2,20.49
2859983.9,20.11
2898214.9,20.62
2936956.9,22.42
2976216.8,16.91
3016001.5,19.11
3056318.1,20.89
3097173.6,17.63
3138575.2,22.21
3180530.2,20.55
3223046.1,21.27
3266130.3,19.14
3309790.5,21.22
3354034.3,21.60
3398869.5,20.35
3444304.0,20.35
3490345.9,20.41
3537003.3,18.70
3584284.4,19.78
3632197.5,19.77
3680751.0,20.58
3729953.7,21.50
3779814.0,18.41
3830340.8,19.81
3881543.1,22.22
3933429.8,18.88
3986010.1,18.77
4039293.3,20.30
4093288.8,21.27
4148006.0,20.02
4203454.7,21.99
4259644.6,21.29
4316585.6,21.26
4374287.7,20.83
4432761.2,23.49
4492016.4,19.69
4552063.6,16.99
4612913.6,22.41
4674576.9,19.31
4737064.5,20.16
4800387.5,21.96
4864556.9,17.60
4929584.1,18.12
4995480.5,17.60
5062257.9,18.81
5129927.8,20.66
5198502.4,20.79
5267993.6,20.41
5338413.8,17.88
5409775.3,16.53
5482090.7,20.08
5555372.8,19.29
5629634.6,20.69
5704889.0,21.05
5781149.3,20.21
5858429.1,21.14
5936742.0,20.34
6016101.7,20.80
6096522.2,18.94
6178017.7,19.73
6260602.7,20.30
6344291.6,21.23
6429099.2,19.41
6515040.5,20.78
6602130.6,19.60
6690384.9,19.82
6779819.0,21.24
6870448.5,17.01
6962289.6,18.06
7055358.3,17.78
7149671.2,16.50
7245244.7,18.98
7342095.9,21.12
7440241.7,19.57
7539699.5,20.30
7640486.8,30.59
7742621.4,21.99
7846121.3,19.90
7951004.7,22.03
8057290.1,20.14
8164996.3,18.74
8274142.3,19.11
8384747.3,17.78
8496830.8,18.67
8610412.6,19.46
8725512.7,21.21
8842151.4,22.58
8960349.3,17.93
9080127.2,20.59
9201506.2,18.44
9324507.8,20.71
9449153.6,19.80
9575465.6,17.25
9703466.1,31.56
9833177.7,19.09
9964623.2,19.20
10097825.7,18.40
10232808.9,19.02
10369596.5,20.64
10508212.6,19.72
10648681.6,20.49
10791028.4,20.54
10935278.0,21.98
11081455.8,19.49
11229587.7,17.78
11379699.8,21.60
11531818.5,19.50
11685970.6,21.67
11842183.4,20.58
12000484.3,19.80
12160901.4,20.52
12323462.8,22.93
12488197.3,23.12
12655133.9,20.10
12824302.0,20.24
12995731.5,21.61
13169452.5,18.73
13345495.8,20.50
13523892.4,19.96
13704673.7,20.47
13887871.6,18.75
14073518.4,17.62
14261646.8,16.89
14452290.0,18.32
14645481.7,19.31
14841255.9,19.56
15039647.1,22.91
15240690.3,21.66
15444421.0,18.56
15650875.0,20.52
15860088.9,19.39
16072099.4,19.57
16286943.9,20.28
16504660.4,20.93
16725287.3,19.49
16948863.4,21.60
17175428.1,18.29
17405021.5,20.01
17637683.9,23.90
17873456.5,20.33
18112380.8,22.15
18354498.9,20.14
18599853.6,20.87
18848488.0,19.91
19100446.1,19.74
19355772.2,18.83
19614511.5,20.65
19876709.4,18.72
20142412.3,21.00
20411666.9,21.63
20684520.9,20.55
20961022.2,19.57
21241219.7,30.49
21525162.7,19.54
21812901.4,21.40
22104486.4,17.25
22399969.2,19.50
22699401.8,17.01
23002837.2,17.76
23310328.7,22.05
23621930.7,21.34
23937698.0,18.92
24257686.3,17.75
24581952.1,15.55
24910552.5,19.18
25243545.5,23.63
25580989.8,20.65
25922944.9,19.16
26269471.2,20.70
26620629.6,17.66
26976482.1,19.55
27337091.6,20.15
27702521.5,19.87
28072836.2,38.25
28448101.2,20.52
28828382.6,21.00
29213747.4,18.97
29604263.6,21.35
30000000.0,22.44
