Frequency_Hz,Level_dBuA_m
654380.9,24.21
672376.9,23.46
690867.9,24.83
709867.4,20.92
729389.4,22.56
749448.2,22.54
770058.7,20.62
791236.0,22.18
812995.7,22.17
835353.8,22.95
858326.7,24.46
881931.5,22.76
906185.4,21.75
931106.3,22.84
956712.5,24.10
983022.9,21.60
1010056.9,21.61
1037834.4,23.30
1066375.8,22.29
1095702.0,23.26
1125834.8,22.40
1156796.3,23.19
1188609.2,21.03
1221297.0,22.19
1254883.7,21.88
1289394.1,20.60
1324853.6,20.12
1361288.2,22.74
1398724.9,21.43
1437191.0,20.55
1476715.1,21.59
1517326.0,22.99
1559053.8,18.83
1601929.2,19.70
1645983.6,20.32
1691249.6,23.11
1737760.5,21.62
1785550.5,22.14
1834654.7,19.78
1885109.3,19.73
1936951.5,21.54
1990219.3,21.00
2044952.1,21.52
2101190.1,20.57
2158974.7,21.05
2218348.4,20.84
2279354.9,21.51
2342039.2,21.48
2406447.3,18.49
2472626.8,17.67
2540626.2,21.50
2610495.6,21.65
2682286.6,18.93
2756051.8,17.85
2831845.7,20.13
2909723.9,21.06
2989743.9,22.03
3071964.5,20.42
3156446.2,19.28
3243251.3,18.59
3332443.5,19.60
3424088.7,19.16
3518254.1,18.23
3615009.2,21.84
3714425.2,21.45
3816575.1,20.60
3921534.3,18.06
4029379.9,20.12
4140191.4,19.79
4254050.4,19.48
4371040.5,20.38
4491248.0,19.57
4614761.2,19.63
4741671.2,19.43
4872071.4,19.01
5006057.6,16.39
5143728.6,18.56
5285185.7,17.72
5430533.0,16.78
5579877.4,20.26
5733329.0,20.25
5891000.6,19.74
6053008.3,18.34
6219471.3,19.58
6390512.3,17.91
6566257.0,18.06
6746834.9,16.44
6932378.8,18.16
7123025.3,17.68
7318914.8,15.98
7520191.4,17.41
7727003.3,17.30
7939502.7,19.48
8157846.0,18.33
8382194.0,17.20
8612711.7,17.41
8849568.9,17.10
9092939.8,16.73
9343003.7,15.60
9599944.5,16.65
9863951.4,15.87
10135218.8,15.19
10413946.2,17.23
10700338.9,17.02
10994607.7,14.33
11296969.1,16.26
11607645.7,17.53
11926866.2,17.54
12254865.5,17.43
12591885.1,16.17
12938173.1,15.04
13293984.2,14.68
13659580.5,16.33
14035231.0,16.30
14421212.3,17.32
14817808.3,17.02
15225311.1,15.47
15644020.6,14.07
16074244.9,15.11
16516300.9,15.68
16970513.7,15.10
17437217.8,14.58
17916756.6,15.51
18409483.2,14.53
18915760.3,14.31
19435960.3,15.37
19970466.4,14.44
20519671.8,15.15
21083980.9,15.11
21663808.9,13.34
22259582.8,14.06
22871740.9,16.29
23500734.0,13.10
24147024.9,11.89
24811089.3,12.12
25493416.2,14.32
26194507.6,14.25
26914879.6,14.00
27655062.6,15.53
28415601.2,10.80
29197055.2,14.41
30000000.0,15.74
